payment_id,order_id,payment_method,amount_in_cents,payment_date,status
2001,1001,credit_card,4998,2023-02-10,success
2002,1002,credit_card,12999,2023-03-15,success
2003,1003,upi,7999,2023-02-20,success
2004,1004,debit_card,3999,2023-03-05,success
2005,1005,credit_card,3998,2023-03-05,success
2006,1006,upi,5499,2023-03-18,success
2007,1007,credit_card,12999,2023-04-01,refunded
2008,1008,upi,2499,2023-04-10,success
2009,1009,upi,2999,2023-04-10,success
2010,1010,credit_card,7999,2023-04-22,success
2011,1011,debit_card,6998,2023-05-05,success
2012,1012,credit_card,4599,2023-05-12,success
2013,1013,upi,2997,2023-05-25,success
2014,1014,debit_card,1999,2023-06-01,success
2015,1015,credit_card,2999,2023-06-15,refunded
2016,1016,credit_card,12999,2023-06-20,success
2017,1017,upi,7998,2023-07-01,success
2018,1018,debit_card,5499,2023-07-10,success
2019,1019,upi,2499,2023-07-20,success
2020,1020,credit_card,7999,2023-08-01,success
2021,1021,debit_card,3499,2023-08-10,success
2022,1022,upi,4599,2023-08-25,success
2023,1023,credit_card,12999,2023-09-05,success
2024,1024,upi,4998,2023-09-15,success
2025,1025,debit_card,1999,2023-09-28,success
